pid,ocr,jpg,chunk count,ignore count,ignore percentage,dictionary count,dictionary percentage (of total),dictionary percentage (of non-ignored)
hale:99775,https://hale.archives.caltech.edu/islandora/object/hale:99775/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:99775/datastream/JPG/view,12,7,58.33333333,0,0,0
hale:55073,https://hale.archives.caltech.edu/islandora/object/hale:55073/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:55073/datastream/JPG/view,859,840,97.78812573,6,0.698486612,31.57894737
hale:68593,https://hale.archives.caltech.edu/islandora/object/hale:68593/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:68593/datastream/JPG/view,572,550,96.15384615,7,1.223776224,31.81818182
hale:32983,https://hale.archives.caltech.edu/islandora/object/hale:32983/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:32983/datastream/JPG/view,147,138,93.87755102,2,1.360544218,22.22222222
hale:97564,https://hale.archives.caltech.edu/islandora/object/hale:97564/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:97564/datastream/JPG/view,1225,1162,94.85714286,18,1.469387755,28.57142857
hale:101945,https://hale.archives.caltech.edu/islandora/object/hale:101945/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:101945/datastream/JPG/view,498,471,94.57831325,8,1.606425703,29.62962963
hale:66757,https://hale.archives.caltech.edu/islandora/object/hale:66757/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:66757/datastream/JPG/view,691,663,95.94790159,12,1.736613603,42.85714286
hale:117339,https://hale.archives.caltech.edu/islandora/object/hale:117339/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:117339/datastream/JPG/view,278,228,82.01438849,5,1.798561151,10
hale:104408,https://hale.archives.caltech.edu/islandora/object/hale:104408/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:104408/datastream/JPG/view,489,471,96.3190184,9,1.840490798,50
hale:87860,https://hale.archives.caltech.edu/islandora/object/hale:87860/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:87860/datastream/JPG/view,100,94,94,2,2,33.33333333
